trait_BG,token_id,trait_Torso,trait_Color,trait_Power Unit,trait_Face,trait_Apex,trait_Right Sensor,trait_Quantum Core,trait_Sense Emulator,trait_Left Sensor,trait_Hands,trait_AUX,trait_Special Edition,rarity_score
-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Rosko,7777.0
-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,VoxoDeus,7777.0
-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Fat Baby,7777.0
-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Swolfchan,7777.0
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Robbie Trevino,7777.0
Orange Gradient,5780,TUX,Nebula Red,Ongo,Robo Face,Strobe,-1,Patrician,-1,-1,Diamond,-1,-1,756.2070715617097
Blue Gradient,3067,BDVXP,Nebula Red,Centurion,Centurion,Industrial Sensor,-1,Core,Kouwei,-1,Ante,Vogu,-1,753.2593482435595
Grey Day,2829,Super Puff,Titan,Extended Range,Ongo,-1,Cat,Centurion,Offender,Infrared,Diamond,Bypass,-1,703.4838564473409
Green Gradient,6759,Centurion,Cotton Candy,Centurion,Core,Industrial Sensor,Core,Kouwei,Offender,Rabbit,Ponies,Trans,-1,693.4513945569136
Grey Day,537,Graphic Tee,Titan,Core,VRT,Core,Patrician,Kouwei,Extended Release,Core,Cards,Vogu,-1,683.9453810839586
Black Graphic,4033,Tactical,Nebula Red,Core,EMO-LED,-1,Patrician,Patrician,Core,-1,Diamond,-1,-1,670.2758117990998
Pink Gradient,6746,Leather Jacket,Titan,Centurion,Core,Kouwei,Kouwei Vibes,Core,Core,APS,Cards,Vogu,-1,669.5180132440433
Ethan S. Brewerton,1854,TUX,Cotton Candy,Patrician,Core,Industrial Sensor,Core,Runtime Meter,-1,Core,Scheming,-1,-1,629.1208859668614
Ethan S. Brewerton,6629,Ongo,Grape,Kouwei,Core,Emoji,-1,Core,Sticker,APS,Scheming,-1,-1,624.3292035854143
Purple Gradient,4989,Centurion,Nova Blue,Kouwei,Echelon-3,Emoji,Core,Runtime Meter,Kouwei,Centurion,Diamond,Patrician,-1,616.6267332001223
Karen Jerzyk,3694,PBJ,Navy,Kouwei,Core,Industrial Sensor,-1,Ongo,Inhaler,-1,Ante,Bypass,-1,616.3969819244594
Black Graphic,2719,Leather Jacket,Nebula Red,Patrician,Jack,Emoji,APS,Patrician,-1,Centurion,Ante,-1,-1,616.3681730594517
Purple Gradient,5823,Graphic Tee,Pulsar White,Patrician,Field Agent,Centurion,Kouwei,Patrician,Kouwei,Core,Cigarette,Ally,-1,609.2660385750362
Black Graphic,3466,Centurion,Snake,Centurion,EMO-LED,-1,-1,Patrician,Extended Release,Kouwei,Stonks, USB V.0,-1,603.3364176055613
Ethan S. Brewerton,640,Kimono,Snake,Kouwei,Core,Cutter,-1,Centurion,Offender,Infrared,Boba, USB V.0,-1,600.295871915951
Grey Gradient,3745,Tracksuit,Nebula Red,Kouwei,Courier,Strobe,Core,Ongo,Inhaler,Core,Diamond,-1,-1,600.2840803244575
Purple Gradient,7001,Core,Echelon Grey,Patrician,Centurion,Cutter,-1,Core,Inhaler,Kouwei,Diamond,Patrician,-1,600.1423186489914
Purple Gradient,257,Centurion,34 Tauri,Core,Centurion,Echelon-3,Kouwei,Core,Core,Core,Diamond,-1,-1,590.7157190111024
Orange Gradient,6644,Core,Nebula Red,Core,Field Agent,Emoji,Centurion,Patrician,Sticker,-1,Diamond,Bypass,-1,589.2342817309561
Ethan S. Brewerton,2333,Wind Breaker,Echelon Grey,Patrician,EMO-LED,-1,Core,Core,Inhaler,Kouwei,Ante,-1,-1,588.9399408158949
Black Graphic,2412,Leather Jacket,Titan,Extended Range,Courier,Industrial Sensor,Acoustic Array,Core,V-THC,Ongo,Scheming,-1,-1,582.4046004201385
Purple Gradient,7167,Kouwei,Neptune,Small Cell,Patrician,Industrial Sensor,Rabbit,Core,Inhaler,Core,Diamond,-1,-1,581.5904911001475
Orange Gradient,5363,Tracksuit,Echelon Grey,Kouwei,Centurion,Kouwei,Acoustic Array,Ongo,-1,-1,Diamond,-1,-1,577.2503469412073
Blue Gradient,7691,Monk,Neptune,Centurion,Recon,Transmission,APS,Centurion,Sticker,Cat,Scheming,-1,-1,577.0246404222194
Orange Gradient,4388,Monk,Titan,Centurion,VRT,Centurion,APS,Core,Sticker,Infrared,Scheming,Formula-V,-1,572.258830967774
Black Graphic,2540,Kimono,Snake,Kouwei,Graffiti,-1,Rabbit,Core,V-THC,Rabbit,Ante,-1,-1,570.0440230740254
Purple Gradient,3841,BDVXP,Nova Blue,Centurion,Centurion,Centurion,Centurion,Ongo,Kouwei,-1,Diamond,-1,-1,563.8739044562064
Orange Gradient,6952,Centurion,Titan,Core,VRT,Centurion,-1,Ongo,Offender,Rabbit,Diamond,-1,-1,559.5029346098921
Blue Gradient,1428,Puff Jacket,Cotton Candy,Centurion,Patrician,Echelon-3,Kouwei Vibes,Centurion,Inhaler,-1,Red Cup,ETH,-1,555.6208374702621
Black Graphic,4688,Centurion,Grape,Kouwei,Vandalized,Industrial Sensor,-1,Runtime Meter,Inhaler,Kouwei,Diamond,-1,-1,552.6533989866725
Grey Day,4751,Kimono,Pulsar White,Centurion,Kouwei,Trinity,Acoustic Array,Ongo,Kouwei,Kouwei,Ante,-1,-1,548.8934748377757
Grey Day,3975,Tracksuit,34 Tauri,Extended Range,VRT,Emoji,Core,Patrician,Inhaler,APS,Diamond,-1,-1,546.8514572393497
Green Gradient,5773,Puff Jacket,Pulsar White,Kouwei,EMO-LED,-1,Acoustic Array,Runtime Meter,Offender,Core,Diamond,-1,-1,546.3632872772575
Pink Gradient,5768,Leather Jacket,Titan,Core,Core,Emoji,-1,Runtime Meter,Sticker,Core,Diamond,-1,-1,538.0316024651935
Tropical Virtual,4333,Super Puff,Titan,Centurion,Kouwei,Industrial Sensor,Core,Patrician,-1,-1,Red Cup,-1,-1,535.4770496018243
Grey Gradient,4553,BDVXP,34 Tauri,Kouwei,Centurion,Industrial Sensor,Core,Core,Inhaler,Core,Diamond,-1,-1,534.5918956461762
Glypsie,75,Leather Jacket,Grape,Core,Centurion,Industrial Sensor,Kouwei,Runtime Meter,Sticker,Ongo,Ponies,-1,-1,533.3333256904466
Pink Gradient,5852,Monk,Grape,Core,Tri-Focal ACS,Industrial Sensor,Acoustic Array,Core,Patrician,-1,-1,Pride,-1,531.8919544203192
Purple Gradient,4670,Wind Breaker,Navy,Core,Core,Transmission,Kouwei,Centurion,Extended Release,Ongo,Ante,-1,-1,530.6089087868799
Black Graphic,7028,Leather Jacket,Wrath,Kouwei,Echelon-3,Patrician,Core,Kouwei,Inhaler,Centurion,Scheming,-1,-1,528.6353645966201
Grey Gradient,930,Wind Breaker,Nova Blue,Kouwei,VRT,Centurion,Patrician,Patrician,Kouwei,Ongo,-1,Pride,-1,525.3125972258599
Green Gradient,6325,Centurion,34 Tauri,Centurion,Centurion,Industrial Sensor,Core,Runtime Meter,Kouwei,Core,Ante,Centurion,-1,523.291675174974
Grey Day,4222,PBJ,Pulsar White,Extended Range,VRT,Industrial Sensor,Core,Core,V-THC,Core,Ante,-1,-1,523.1790199641139
Blue Gradient,2646,Kouwei,Nova Blue,Kouwei,ISO,Range Finder,Core,Patrician,Ongo,Kouwei,Scheming,-1,-1,519.9292535775934
Green Gradient,2577,Kouwei,Nebula Red,Centurion,Vandalized,Industrial Sensor,-1,Ongo,Offender,APS,Scheming,Patrician,-1,519.3686320015652
Green Gradient,5748,Centurion,Nova Blue,Patrician,Robo Face,Centurion,Acoustic Array,Core,-1,APS,Coffee,-1,-1,517.9240795665355
Ethan S. Brewerton,6677,Centurion,Neptune,Core,Centurion,-1,Kouwei,Centurion,Kouwei,Kouwei,Ponies,-1,-1,517.0898658492503
Green Gradient,3131,Centurion,Cotton Candy,Small Cell,EMO-LED,-1,Ongo,Ongo,Inhaler,Ongo,Cigarette,Core,-1,510.16753836781254
Blue Gradient,5100,Graphic Tee,Cotton Candy,Kouwei,Vandalized,Core,Acoustic Array,Core,Inhaler,Centurion,Scheming,-1,-1,507.9427917779106
Grey Day,365,PBJ,Cotton Candy,Core,Patrician,Strobe,Core,Core,Ongo,Core,Ante,-1,-1,507.5168276458893
Purple Gradient,7727,Ongo,Nebula Red,Kouwei,Core,Garsi,Kouwei Vibes,Core,Centurion,-1,Blunt,-1,-1,506.37956679447495
Purple Gradient,2985,Graphic Tee,Nebula Red,Kouwei,Grigori,Strobe,Kouwei,Core,Inhaler,Centurion,Zen,Ally,-1,506.2173196119544
Green Gradient,5053,Patrician,Wrath,Centurion,Ongo,Ongo,-1,Patrician,Kouwei,APS,Ante,Bypass,-1,506.1615779082888
Ethan S. Brewerton,2262,Wind Breaker,34 Tauri,Extended Range,VRT,Garsi,Core,Patrician,-1,Infrared,Coffee,-1,-1,502.82528144911294
Grey Day,1541,Graphic Tee,34 Tauri,Kouwei,Field Agent,Kouwei,-1,Centurion,Extended Release,Core,Boba,Trans,-1,502.5109124749663
Ethan S. Brewerton,2036,Wind Breaker,Wrath,Ongo,Centurion,Centurion,-1,Core,-1,Kouwei,Betting Slips,-1,-1,500.0208604047921
Green Gradient,4954,Tracksuit,Wrath,Extended Range,Centurion,Patrician,Centurion,Centurion,Sticker,Ongo,-1,Vogu,-1,499.38321473893825
Orange Gradient,3336,Patrician,Nova Blue,Small Cell,Tri-Focal ACS,Industrial Sensor,Rabbit,Core,Ongo,Ongo,Ponies,-1,-1,497.59542327817053
Grey Gradient,4996,Core,Snake,Small Cell,Field Agent,Trinity,-1,Core,V-THC,Core,Stonks,Bypass,-1,497.5095255348675
Black Graphic,5903,Leather Jacket,Nebula Red,Centurion,Centurion,Echelon-3,Patrician,Runtime Meter,Ongo,Cat,Double Fisting,Centurion,-1,496.9526344165346
Green Gradient,5736,Wind Breaker,Pulsar White,Extended Range,EMO-LED,-1,-1,Centurion,Offender,-1,Scheming,Patrician,-1,496.3079916772088
Orange Gradient,7177,Kimono,Snake,Ongo,Ongo,Emoji,-1,Ongo,V-THC,Core,Blunt,-1,-1,496.22746576053055
Pink Gradient,6975,Tactical,Snake,Kouwei,Vandalized,Industrial Sensor,Acoustic Array,Core,Sticker,Cat,Beverage,Trans,-1,495.60637334461023
Pink Gradient,1948,Core,34 Tauri,Ongo,VRT,Industrial Sensor,Core,Centurion,Core,Cat,Betting Slips,Formula-V,-1,495.36045424718253
