trait_Zodiac,token_id,trait_Nose,trait_Eyes,trait_Body,trait_Head,trait_Mouth,trait_Sign,trait_Matching Set,trait_Totem,rarity_score
Exwife,7981,Anus,Anuses,Hoodie,Punk,Anus,Sign,Anus,-1,8999.270622750728
Overconsume,833,Plaster,Plasted,Skeleton,Beaten,Ugly,Sign,Plastered,-1,8223.620918632132
Therapist,2818,Booger,Out,Haminguay,Hugo,Rotten,Sign,Booger,-1,8142.08686575623
-1,7905,-1,-1,-1,-1,-1,-1,-1,Ripley,7981.0
-1,2,-1,-1,-1,-1,-1,-1,-1,Eyeblinkerton,7981.0
-1,4456,-1,-1,-1,-1,-1,-1,-1,Bloodsucker,7981.0
-1,7632,-1,-1,-1,-1,-1,-1,-1,Cyberwood,7981.0
-1,3078,-1,-1,-1,-1,-1,-1,-1,Sandy,7981.0
-1,5433,-1,-1,-1,-1,-1,-1,-1,Wrongtail,7981.0
-1,3963,-1,-1,-1,-1,-1,-1,-1,Yourself,7981.0
-1,321,-1,-1,-1,-1,-1,-1,-1,Doubleworm,7981.0
-1,5162,-1,-1,-1,-1,-1,-1,-1,Threeface,7981.0
-1,3411,-1,-1,-1,-1,-1,-1,-1,Aeterna,7981.0
-1,3,-1,-1,-1,-1,-1,-1,-1,Zinger,7981.0
-1,1969,-1,-1,-1,-1,-1,-1,-1,Starsnake,7981.0
-1,812,-1,-1,-1,-1,-1,-1,-1,Waterburns,7981.0
-1,1,-1,-1,-1,-1,-1,-1,-1,Mescalero,7981.0
-1,7904,-1,-1,-1,-1,-1,-1,-1,Jericho,7981.0
Therapist,7871,Bigppig,Fu,Meat,Beaten,Wong,Sign,Kong,-1,4183.424273098226
Mapcross,7102,Bigppig,Wide,Magnum,Raiden,Wong,Sign,Kong,-1,4152.09155080817
Poisoned,7339,Pinoccio,Shop,Chair,Hugo,Bender,Sign,Cyborg,-1,3010.1468288302326
Rottenbottle,5665,Pinoccio,Robo,Chair,Gman,Rolling stone,Sign,Cyborg,-1,2843.044753289246
Worm,6230,Pinoccio,Robo,Chair,Babylon,Ugly,Sign,Cyborg,-1,2838.3631046967066
Nail,2537,Beavis,Stringed,Boobs,Nipple,Scar,Sign,Franc,-1,1746.675333543173
